time,theta_dot
3169,-0.288558
3170,-0.323175
3171,-0.320248
3172,-0.209649
3173,-0.161306
3174,-0.253261
3175,-0.339904
3176,-0.371024
3177,-0.241288
3178,-0.168508
3179,-0.253976
3180,-0.305622
3181,-0.337036
3182,-0.329088
3183,-0.267447
3184,-0.243947
3185,-0.311647
3186,-0.350666
3187,-0.320282
3188,-0.290074
3189,-0.3109
3190,-0.340499
3191,-0.348732
3192,-0.336631
3193,-0.345799
3194,-0.357151
3195,-0.381672
3196,-0.391387
3197,-0.388433
3198,-0.396965
3199,-0.411852
3200,-0.424247
3201,-0.429496
3202,-0.447336
3203,-0.45785
3204,-0.4729
3205,-0.481709
3206,-0.487774
3207,-0.511905
3208,-0.523207
3209,-0.535679
3210,-0.542683
3211,-0.557486
3212,-0.570165
3213,-0.575472
3214,-0.586552
3215,-0.591549
3216,-0.596377
3217,-0.608013
3218,-0.613235
3219,-0.623666
3220,-0.628567
3221,-0.637698
3222,-0.645388
3223,-0.648564
3224,-0.657429
3225,-0.662367
3226,-0.672209
3227,-0.677551
3228,-0.682544
3229,-0.687215
3230,-0.688932
3231,-0.704582
3232,-0.714588
3233,-0.72681
3234,-0.734592
3235,-0.742216
3236,-0.778701
3237,-0.792079
3238,-0.819446
3239,-0.833242
3240,-0.841483
3241,-0.902162
3242,-0.933858
3243,-0.935435
3244,-1.02166
3245,-1.07599
3246,-1.12395
3247,-1.15879
3248,-1.24976
3249,-1.29878
3250,-1.28217
3251,-1.27134
3252,-1.29785
3253,-1.31354
3254,-1.285
3255,-1.26575
3256,-1.26907
3257,-1.27871
3258,-1.27889
3259,-1.25374
3260,-1.24203
3261,-1.25746
3262,-1.26923
3263,-1.24383
3264,-1.22694
3265,-1.23371
3266,-1.244
3267,-1.2296
3268,-1.21799
3269,-1.20942
3270,-1.21106
3271,-1.20811
3272,-1.19308
3273,-1.18166
3274,-1.17781
3275,-1.17956
3276,-1.16312
3277,-1.15291
3278,-1.14378
3279,-1.14345
3280,-1.13692
3281,-1.13067
3282,-1.10487
3283,-1.09132
3284,-1.08763
3285,-1.09129
3286,-1.09219
3287,-1.05465
3288,-1.0349
3289,-1.04143
3290,-1.05134
3291,-1.01989
3292,-0.976451
3293,-0.954591
3294,-1.00779
3295,-1.04461
3296,-0.983119
3297,-0.934577
3298,-0.906323
3299,-1.06766
