time,theta
1357,3.12043
1358,3.12043
1359,3.12043
1360,3.12043
1361,3.12043
1362,3.12043
1363,3.12043
1364,3.12043
1365,3.12043
1366,3.12042
1367,3.12042
1368,3.12042
1369,3.12042
1370,3.12042
1371,3.12042
1372,3.12042
1373,3.12042
1374,3.12042
1375,3.12042
1376,3.12042
1377,3.12042
1378,3.12042
1379,3.12042
1380,3.12042
1381,3.12042
1382,3.12042
1383,3.12042
1384,3.12042
1385,3.12042
1386,3.12042
1387,3.12042
1388,3.12042
1389,3.12041
1390,3.12041
1391,3.12041
1392,3.12041
1393,3.12041
1394,3.12041
1395,3.12041
1396,3.12041
1397,3.12041
1398,3.12041
1399,3.12041
1400,3.12041
1401,3.12041
1402,3.12041
1403,3.12041
1404,3.12041
1405,3.12041
1406,3.12041
1407,3.12041
1408,3.12041
1409,3.12041
1410,3.12041
1411,3.12041
1412,3.12041
1413,3.1204
1414,3.1204
1415,3.1204
1416,3.1204
1417,3.1204
1418,3.1204
1419,3.1204
1420,3.1204
1421,3.1204
1422,3.1204
1423,3.1204
1424,3.1204
1425,3.1204
1426,3.1204
1427,3.1204
1428,3.1204
1429,3.1204
1430,3.12039
1431,3.12039
1432,3.12039
1433,3.12039
1434,3.12039
1435,3.12039
1436,3.12039
1437,3.12039
1438,3.12039
1439,3.12039
1440,3.12039
1441,3.12039
1442,3.12039
1443,3.12039
1444,3.12039
1445,3.12039
1446,3.12038
1447,3.12038
1448,3.12038
1449,3.12038
1450,3.12038
1451,3.12038
1452,3.12038
1453,3.12038
1454,3.12038
1455,3.12038
1456,3.12038
1457,3.12038
1458,3.12038
1459,3.12038
1460,3.12038
1461,3.12038
1462,3.12038
1463,3.12038
1464,3.12038
1465,3.12038
1466,3.12037
1467,3.12037
1468,3.12037
1469,3.12037
1470,3.12037
1471,3.12037
1472,3.12037
1473,3.12037
1474,3.12037
1475,3.12037
1476,3.12037
1477,3.12037
1478,3.12037
1479,3.12037
1480,3.12037
1481,3.12037
1482,3.12037
1483,3.12037
1484,3.12037
1485,3.12037
1486,3.12036
1487,3.12036
1488,3.12036
1489,3.12036
1490,3.12036
1491,3.12036
1492,3.12036
1493,3.12036
1494,3.12036
1495,3.12036
1496,3.12036
1497,3.12036
1498,3.12036
1499,3.12036
1500,3.12036
1501,3.12036
1502,3.12036
1503,3.12036
1504,3.12036
1505,3.12036
1506,3.12036
1507,3.12035
1508,3.12035
1509,3.12035
1510,3.12035
1511,3.12035
1512,3.12035
1513,3.12035
1514,3.12035
1515,3.12035
1516,3.12035
1517,3.12035
1518,3.12035
1519,3.12035
1520,3.12035
1521,3.12035
1522,3.12035
1523,3.12035
1524,3.12035
1525,3.12035
1526,3.12035
1527,3.12035
1528,3.12035
1529,3.12035
1530,3.12035
1531,3.12034
1532,3.12034
1533,3.12034
1534,3.12034
1535,3.12034
1536,3.12034
1537,3.12034
1538,3.12034
1539,3.12034
1540,3.12034
1541,3.12034
1542,3.12034
1543,3.12034
1544,3.12034
1545,3.12034
1546,3.12034
1547,3.12034
1548,3.12034
1549,3.12034
1550,3.12034
1551,3.12034
1552,3.12034
1553,3.12034
1554,3.12034
1555,3.12034
1556,3.12034
1557,3.12034
1558,3.12034
1559,3.12034
1560,3.12034
1561,3.12034
1562,3.12034
1563,3.12033
1564,3.12033
1565,3.12033
1566,3.12033
1567,3.12033
1568,3.12033
1569,3.12033
1570,3.12033
1571,3.12033
1572,3.12033
1573,3.12033
1574,3.12033
1575,3.12033
1576,3.12033
1577,3.12033
1578,3.12033
1579,3.12033
1580,3.12033
1581,3.12033
1582,3.12033
1583,3.12033
1584,3.12033
1585,3.12033
1586,3.12033
1587,3.12033
1588,3.12033
1589,3.12033
1590,3.12033
1591,3.12033
1592,3.12033
1593,3.12033
1594,3.12033
1595,3.12033
1596,3.12033
1597,3.12033
1598,3.12032
1599,3.12032
1600,3.12032
1601,3.12032
1602,3.12032
1603,3.12032
1604,3.12032
1605,3.12032
1606,3.12032
1607,3.12032
1608,3.12032
1609,3.12032
1610,3.12032
1611,3.12032
1612,3.12032
1613,3.12032
1614,3.12032
1615,3.12032
1616,3.12032
1617,3.12032
1618,3.12032
1619,3.12032
1620,3.12032
1621,3.12032
1622,3.12032
1623,3.12032
1624,3.12032
1625,3.12032
1626,3.12032
1627,3.12032
1628,3.12032
1629,3.12032
1630,3.12032
1631,3.12032
1632,3.12032
1633,3.12032
1634,3.12032
1635,3.12032
1636,3.12031
1637,3.12031
1638,3.12031
1639,3.12031
1640,3.12031
1641,3.12031
1642,3.12031
1643,3.12031
1644,3.12031
1645,3.12031
1646,3.12031
1647,3.12031
1648,3.12031
1649,3.12031
1650,3.12031
1651,3.12031
1652,3.12031
1653,3.12031
1654,3.12031
1655,3.12031
1656,3.12031
1657,3.12031
1658,3.12031
1659,3.12031
1660,3.12031
1661,3.12031
1662,3.12031
1663,3.12031
1664,3.12031
1665,3.12031
1666,3.12031
1667,3.12032
1668,3.12032
1669,3.12033
1670,3.12033
1671,3.12033
1672,3.12033
1673,3.12033
1674,3.12033
1675,3.12033
1676,3.12033
1677,3.12033
1678,3.12033
1679,3.12033
1680,3.12033
1681,3.12033
1682,3.12033
1683,3.12033
1684,3.12033
1685,3.12033
1686,3.12032
1687,3.12032
1688,3.12032
1689,3.12032
1690,3.12032
1691,3.12032
1692,3.12032
1693,3.12032
1694,3.12032
1695,3.12032
1696,3.12032
1697,3.12032
1698,3.12032
1699,3.12032
1700,3.12032
1701,3.12032
1702,3.12032
1703,3.12032
1704,3.12032
1705,3.12032
1706,3.12032
1707,3.12032
1708,3.12032
1709,3.12032
1710,3.12032
1711,3.12032
1712,3.12032
1713,3.12032
1714,3.12032
1715,3.12032
1716,3.12032
1717,3.12032
1718,3.12032
1719,3.12032
1720,3.12032
1721,3.12032
1722,3.12032
1723,3.12032
1724,3.12032
1725,3.12032
1726,3.12032
1727,3.12032
1728,3.12032
1729,3.12032
1730,3.12032
1731,3.12032
1732,3.12032
1733,3.12032
1734,3.12032
1735,3.12032
1736,3.12032
1737,3.12032
1738,3.12032
1739,3.12032
1740,3.12032
1741,3.12032
1742,3.12032
1743,3.12032
1744,3.12032
1745,3.12031
1746,3.12031
1747,3.12031
1748,3.12031
1749,3.12031
1750,3.12031
1751,3.12031
1752,3.12031
1753,3.12031
1754,3.12031
1755,3.12031
1756,3.12031
1757,3.12031
1758,3.12031
1759,3.12031
1760,3.12031
1761,3.12031
1762,3.12031
1763,3.12031
1764,3.12031
1765,3.12031
1766,3.12031
1767,3.12031
1768,3.12031
1769,3.12031
1770,3.12031
1771,3.12031
1772,3.12031
1773,3.12031
1774,3.12025
1775,3.12021
1776,3.1202
1777,3.12019
1778,3.12018
1779,3.12018
1780,3.12018
1781,3.12017
1782,3.12017
1783,3.12017
1784,3.12017
1785,3.12017
1786,3.12017
1787,3.12017
1788,3.12017
1789,3.12017
1790,3.12017
1791,3.12017
1792,3.12017
1793,3.12017
1794,3.12017
1795,3.12017
1796,3.12017
1797,3.12017
1798,3.12017
1799,3.12017
1800,3.12017
1801,3.12017
1802,3.12017
1803,3.12017
1804,3.12017
1805,3.12017
1806,3.12017
1807,3.12017
1808,3.12017
1809,3.12017
1810,3.12017
1811,3.12017
1812,3.12017
1813,3.12017
1814,3.12017
1815,3.12017
1816,3.12017
1817,3.12017
1818,3.12017
1819,3.12017
1820,3.12017
1821,3.12017
1822,3.12017
1823,3.12017
1824,3.12017
1825,3.12017
1826,3.12017
1827,3.12017
1828,3.12017
1829,3.12017
1830,3.12017
1831,3.12017
1832,3.12017
1833,3.12017
1834,3.12017
1835,3.12017
1836,3.12017
1837,3.12017
1838,3.12017
1839,3.12017
1840,3.12017
1841,3.12017
1842,3.12017
1843,3.12017
1844,3.12017
1845,3.12017
1846,3.12017
1847,3.12017
1848,3.12017
1849,3.12017
1850,3.12017
1851,3.12017
1852,3.12017
1853,3.12017
1854,3.12017
1855,3.12017
1856,3.12017
1857,3.12017
1858,3.12017
1859,3.12017
1860,3.12017
1861,3.12017
1862,3.12017
1863,3.12017
1864,3.12017
1865,3.12017
1866,3.12017
1867,3.12017
1868,3.12017
1869,3.12017
1870,3.12017
1871,3.12017
1872,3.12017
1873,3.12017
1874,3.12017
